id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kelompok_pengeluaran;kode_bulan;bulan;inflasi;satuan;tahun;Cluster
63;32;JAWA BARAT;3273;KOTA BANDUNG;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;0.43;PERSEN;2024;2
64;32;JAWA BARAT;3273;KOTA BANDUNG;PENDIDIKAN;1;JANUARI;0.42;PERSEN;2024;2
65;32;JAWA BARAT;3273;KOTA BANDUNG;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;0.93;PERSEN;2024;2
66;32;JAWA BARAT;3273;KOTA BANDUNG;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;3.5;PERSEN;2024;2
67;32;JAWA BARAT;3274;KOTA CIREBON;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;4.81;PERSEN;2024;2
68;32;JAWA BARAT;3274;KOTA CIREBON;PAKAIAN DAN ALAS KAKI;1;JANUARI;1.19;PERSEN;2024;2
69;32;JAWA BARAT;3274;KOTA CIREBON;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;0.27;PERSEN;2024;2
70;32;JAWA BARAT;3274;KOTA CIREBON;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;0.74;PERSEN;2024;2
71;32;JAWA BARAT;3274;KOTA CIREBON;KESEHATAN;1;JANUARI;0.61;PERSEN;2024;2
72;32;JAWA BARAT;3274;KOTA CIREBON;TRANSPORTASI;1;JANUARI;0.43;PERSEN;2024;2
73;32;JAWA BARAT;3274;KOTA CIREBON;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;0.16;PERSEN;2024;2
74;32;JAWA BARAT;3274;KOTA CIREBON;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;1.45;PERSEN;2024;2
75;32;JAWA BARAT;3274;KOTA CIREBON;PENDIDIKAN;1;JANUARI;1.42;PERSEN;2024;2
76;32;JAWA BARAT;3274;KOTA CIREBON;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;0.83;PERSEN;2024;2
